"Date","Approve","Disapprove"
2019-03-24,43.6666666666667,52.3333333333333
2019-03-25,44.8857142857143,53.2285714285714
2019-03-26,40.9259259259259,54.4888888888889
2019-03-27,44.1428571428571,51
2019-03-28,43.5,54
2019-03-29,43.4444444444444,52.4444444444444
2019-03-31,44,51.8
2019-04-01,45.6,53.2
2019-04-02,43.5777777777778,52.2222222222222
2019-04-03,45.1428571428571,51.8571428571429
2019-04-04,45.5,51.75
2019-04-05,44,52
2019-04-06,43,54
2019-04-07,41.5,55
2019-04-08,44.75,51.5
2019-04-09,42.9678571428571,53.2678571428571
2019-04-10,42.75,53
2019-04-11,47.5,52
2019-04-12,42.8333333333333,52.3333333333333
2019-04-14,43.6666666666667,53.3333333333333
2019-04-15,42.0818181818182,52.1
2019-04-16,44,53.41
2019-04-17,43.2,53.4
2019-04-18,44.5,51.8333333333333
2019-04-19,42.7142857142857,54.1428571428571
2019-04-20,43.25,54.25
2019-04-22,44.2222222222222,52.8888888888889
2019-04-23,43.2,53
2019-04-24,43.2,52.9
2019-04-25,43.5714285714286,52.7142857142857
2019-04-26,44,53.4
2019-04-27,42.5,53.5
2019-04-29,44.625,52.625
2019-04-30,42.8333333333333,53.3333333333333
2019-05-01,43.5,52.7857142857143
2019-05-02,44.2,53.2
2019-05-03,45.25,52.25
2019-05-05,46,51
2019-05-06,44.25,51.875
2019-05-07,44.6444444444444,53.1222222222222
2019-05-08,43.5555555555556,52.2222222222222
2019-05-09,44.75,52.75
2019-05-10,47.5,52
2019-05-11,43.4,52.6
2019-05-13,43.9666666666667,53.2333333333333
2019-05-14,42.8461538461538,53.6153846153846
2019-05-15,43.6363636363636,52.8181818181818
2019-05-16,45.5,53.5
2019-05-17,42.7142857142857,53.2857142857143
2019-05-18,42.6666666666667,54
2019-05-20,44.3333333333333,55
2019-05-21,41.875,55.5
2019-05-22,42.5,53.25
2019-05-23,43.2307692307692,53.9230769230769
2019-05-24,44,52.6666666666667
2019-05-27,46,53
2019-05-28,43.6363636363636,53.1818181818182
2019-05-29,44.2857142857143,55
2019-05-30,44.8571428571429,51.4285714285714
2019-05-31,45.6,52.2
2019-06-02,43,52.5
2019-06-03,43.3125,52.3125
2019-06-04,45,52.3333333333333
2019-06-05,44,52.8333333333333
2019-06-06,43.2857142857143,54
2019-06-07,44.5,50.5
2019-06-08,46,54
2019-06-10,44.6923076923077,51.6923076923077
2019-06-11,43.4285714285714,52.7857142857143
2019-06-12,43.6666666666667,53.25
2019-06-13,46.2,50.2
2019-06-14,46,51.6
2019-06-16,44.5,53
2019-06-17,43.9,52
2019-06-18,44,55.1428571428571
2019-06-19,42.7642857142857,53.2928571428571
2019-06-20,44.8571428571429,50.8571428571429
2019-06-21,44,52.125
2019-06-22,45,55
2019-06-23,42.5,52
2019-06-24,44.5,53.6666666666667
2019-06-25,43.7909090909091,52.2090909090909
2019-06-26,44.1833333333333,51.2833333333333
2019-06-27,44.75,52.5
2019-06-28,45.75,50.75
2019-06-29,44,53.6666666666667
2019-06-30,42.5,52.5
2019-07-01,44.625,53.875
